year,family_group,family_group_label,children_count,children_label,income_band_order,income_band_key,income_band,families,families_stated_total,share_within_child_group,aggregation_note
2021,couple,Couple families with children,1,1 child,3,150_299,$150-$299,1952,995272,0.0019612728982629874,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,3,150_299,$150-$299,1140,1152489,0.000989163454054659,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,3,150_299,$150-$299,305,397905,0.0007665146203239467,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,3,150_299,$150-$299,204,98106,0.00207938352394349,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,4,300_399,$300-$399,1654,995272,0.0016618572611306257,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,4,300_399,$300-$399,944,1152489,0.0008190967549364897,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,4,300_399,$300-$399,294,397905,0.0007388698307384928,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,4,300_399,$300-$399,142,98106,0.0014474140215685076,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,5,400_499,$400-$499,5242,995272,0.005266901912241076,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,5,400_499,$400-$499,3626,1152489,0.003146233933686135,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,5,400_499,$400-$499,1530,397905,0.0038451389150676667,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,5,400_499,$400-$499,872,98106,0.008888345259209427,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,6,500_649,$500-$649,7719,995272,0.0077556688020963115,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,2,2 children,6,500_649,$500-$649,5623,1152489,0.004879005352762586,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,3,3 children,6,500_649,$500-$649,2105,397905,0.005290207461580025,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,4m,4+ children,6,500_649,$500-$649,1319,98106,0.01344464151020325,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
2021,couple,Couple families with children,1,1 child,7,650_799,$650-$799,17887,995272,0.01797197148116294,Summed from SA2 Census cells; small differences from published national totals can occur because Census cells are perturbed.
